text,label,source,original_label
"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY Â£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",spam,UCI SMS Spam Collection,spam
wana talk to a goddamn person,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I do not know what to do to check the cancellation penalties,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam,UCI SMS Spam Collection,spam
I want help to update order {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
"I have to submit my new shipping address, how to do it?",faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
can I check the available payment options ?,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
can you direct to me a damn operator?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
want help obtaining a refund of money,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
need to speak to customere assistance,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
I'd like to unsubscrie to the corporate newsletter help me,sales_or_contact,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end,spam,UCI SMS Spam Collection,spam
"i need to find work, help me connect to a local business through linkedin",ambiguous,CLINC OOS Dataset (test),oos
assistance talking with somebody,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
what do i need to do to get in touch with customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",spam,UCI SMS Spam Collection,spam
Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 Â£3/wk 087016248,spam,UCI SMS Spam Collection,spam
i have got to talk with somebody,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
how can I acquire a product?,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
"you are not helpful, how to chat with an agent?",human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,spam,UCI SMS Spam Collection,spam
have a question about the deletion of my {{Account Category}} account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
editdata on standard account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=edit_account
i do not knoww what i need to do to close the {{Account Type}} account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
can you help me seeing the accetped payment methods?,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop",spam,UCI SMS Spam Collection,spam
i dnt use my {{Account Category}} account want help to delete it,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
want assistance contacting an operator,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
help me talk with an agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
i try to see what shipment options are available,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_options
I would like to submit a secondary delivery address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
I don't know how I could chat with a goddamn human agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
help checking what hours I can call customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
could you help me solving troubles with online payment ?,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
You have won a guaranteed Â£200 award or even Â£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,spam,UCI SMS Spam Collection,spam
where are the oscar's held,ambiguous,CLINC OOS Dataset (train),oos
buy artilce,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
I'm trying to see what hours i can call customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam,UCI SMS Spam Collection,spam
can you tell me what key frank zappa's keep it greasy is in,ambiguous,CLINC OOS Dataset (test),oos
what is the nature of the big bang theory,ambiguous,CLINC OOS Dataset (test),oos
need help touse the {{Account Type}} account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=switch_account
help to talk with a person,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
want assistance to leave feedback for ur products,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=review
where to see at what time I can contact customer service?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,UCI SMS Spam Collection,spam
i do not know what i have to do to chat with an operator,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
need help cancelling purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=cancel_order
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",spam,UCI SMS Spam Collection,spam
can uhelp me looking for the bills from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
"Last Chance! Claim ur Â£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. Â£3.00 Sub. 16",spam,UCI SMS Spam Collection,spam
FREE entry into our Â£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,spam,UCI SMS Spam Collection,spam
I am calling to see when will my product arirve,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
assistance to edit order {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
contact customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
display the song lyrics for me,ambiguous,CLINC OOS Dataset (test),oos
help me to see what hours I can reach customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
can you enable subtitles,ambiguous,CLINC OOS Dataset (test),oos
I don't know what to do to chaat with somebody,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
Last chance 2 claim ur Â£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. Â£3.00 Sub. 16 . Remove txt X or STOP,spam,UCI SMS Spam Collection,spam
assistance to see the restitution status,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=track_refund
how can i root an android phone,ambiguous,CLINC OOS Dataset (validation),oos
give me a recommendation for a local landscaper,ambiguous,CLINC OOS Dataset (test),oos
I need assistance buying a product,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
Todays Voda numbers ending 1225 are selected to receive a Â£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,spam,UCI SMS Spam Collection,spam
need help to file a consumer claim,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=complaint
how do i change my flight,ambiguous,CLINC OOS Dataset (train),oos
I'm trying to contact customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",spam,UCI SMS Spam Collection,spam
what's the best reviewed local roof repair place,ambiguous,CLINC OOS Dataset (test),oos
what act score is considered good,ambiguous,CLINC OOS Dataset (validation),oos
ya have a section to send my feedback about ur products,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=review
I do not know how I can cancel a platinum account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
i want help leaving a comment about ur company,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=review
I want to get in touch with customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
what do i need to do to get my iinvoices from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=get_invoice
Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,spam,UCI SMS Spam Collection,spam
can you help me notify of an error with payments?,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
could you help me speak to somebody?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
are any justice league movies coming out,ambiguous,CLINC OOS Dataset (train),oos
i need help to check the cancellation penalty,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
I don't know what I have to do to call customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
XMAS iscoming & ur awarded either Â£500 CD gift vouchers & free entry 2 r Â£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,spam,UCI SMS Spam Collection,spam
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam,UCI SMS Spam Collection,spam
how much food should i feed my cat,ambiguous,CLINC OOS Dataset (validation),oos
how do you know when your dog is ill,ambiguous,CLINC OOS Dataset (validation),oos
I don't know what to do to inform of errors with payment,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
can uhelp me speak tyo somebody,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
"I have got to modify purchase {{Order Number}}, how do I do it?",sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
create a 500 word letter expressing love,ambiguous,CLINC OOS Dataset (test),oos
what do I have to do to check the cancellation charges?,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
what is the extra digits that are sometimes included on my zip code,ambiguous,CLINC OOS Dataset (test),oos
are we allowed to wash our cars during the drought,ambiguous,CLINC OOS Dataset (test),oos
what is the cheapest new car for this year,ambiguous,CLINC OOS Dataset (test),oos
how do i get rid of an itchy rash,ambiguous,CLINC OOS Dataset (test),oos
can ya help me to speak with customer assistance,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
help me see in which situations cani ask to be refunded,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
i want assistance to see how soon can i xepect the item,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
start a speech on microbes for me,ambiguous,CLINC OOS Dataset (test),oos
please explain the catch rule to me,ambiguous,CLINC OOS Dataset (train),oos
can I contact somebody?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
how can I get information about my newsletter subscription?,sales_or_contact,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
is it possible to check invoice #37777,sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
can I speak with a person ?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I do not know how I can speak to customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
help checking what shipment methods i can choose,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_options
generate a list of 20 songs that include the word love in the title,ambiguous,CLINC OOS Dataset (test),oos
"YOU VE WON! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins",spam,UCI SMS Spam Collection,spam
I don't know what I have to do to order several products,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
"I need to talk to an operator, could I get some help?",human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,spam,UCI SMS Spam Collection,spam
"I have to edit the address, I need assistance",faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
I do not know what to do to talk to customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
I need to speak to an operator,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,spam,UCI SMS Spam Collection,spam
"I need to talk with customer support, how todo it?",human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
when will nightwish be touring through my city,ambiguous,CLINC OOS Dataset (test),oos
I would like to speak with goddamn customer assistance,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
what year was star trek released,ambiguous,CLINC OOS Dataset (train),oos
what causes dyslexia,ambiguous,CLINC OOS Dataset (test),oos
see in whnich situations can I request my money back,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
can you help me see the status of the reimbursement?,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=track_refund
help to use the bloody gold profile,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=switch_account
seeingbill from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
deny incoming phone call,ambiguous,CLINC OOS Dataset (test),oos
help to remove several articles from purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
transferring to operator,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
adjust the contrast of the black and white photos,ambiguous,CLINC OOS Dataset (test),oos
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,spam,UCI SMS Spam Collection,spam
please tell me the status of the government shutdown,ambiguous,CLINC OOS Dataset (test),oos
LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,spam,UCI SMS Spam Collection,spam
there is an issue setting up the shipping address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,spam,UCI SMS Spam Collection,spam
find my bilps from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
how many people have insomnia,ambiguous,CLINC OOS Dataset (test),oos
can i check how long it takes for the deilvery to arrive,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
file customerr claim,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=complaint
is it possible to survive in a black hole,ambiguous,CLINC OOS Dataset (validation),oos
please save my draft for me so i can work on it later,ambiguous,CLINC OOS Dataset (train),oos
I don't know how I can speak wih customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
what's the latest vc funded company,ambiguous,CLINC OOS Dataset (test),oos
what's a puffin's natural habitat,ambiguous,CLINC OOS Dataset (train),oos
tell me the price of bananas at whole foods this week,ambiguous,CLINC OOS Dataset (test),oos
how do I check your money back policy ?,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
directing to person,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
can you help me talking to customer service ?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
fill out the paperwork for tonys new daycare center,ambiguous,CLINC OOS Dataset (test),oos
where do squirrels's live,ambiguous,CLINC OOS Dataset (train),oos
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam,UCI SMS Spam Collection,spam
could you help me to check your payment modalities?,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
i need assistance changing the data on my user profile,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=edit_account
Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,spam,UCI SMS Spam Collection,spam
I need help to check what hours I can call customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
what years did world war i occur,ambiguous,CLINC OOS Dataset (train),oos
talking to customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
can uhelp me to cancel purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=cancel_order
what size wipers does this car take,ambiguous,CLINC OOS Dataset (train),oos
I am trying to update my delivery address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,spam,UCI SMS Spam Collection,spam
want hep to speak with a live agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity,spam,UCI SMS Spam Collection,spam
in which situations can I ask for reimbursements?,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
what do I have to do to acquire several products?,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
wanna check how soon can i epect my delivery help me,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX Â£1.50,spam,UCI SMS Spam Collection,spam
what do I need to do to chat with a human agent ?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam,UCI SMS Spam Collection,spam
submitting differemt shipping address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
help me subscribing to the newsletter,sales_or_contact,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
"Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam,UCI SMS Spam Collection,spam
can you tell me today's headlines pleasei,ambiguous,CLINC OOS Dataset (test),oos
is it possible to set my delivery address up?,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
I want help to chat with a live agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,spam,UCI SMS Spam Collection,spam
assistance seeing what hours I can call customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
A Â£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a Â£400 reward. Just call 09066380611,spam,UCI SMS Spam Collection,spam
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam,UCI SMS Spam Collection,spam
"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",spam,UCI SMS Spam Collection,spam
Please CALL 08712402779 immediately as there is an urgent message waiting for you,spam,UCI SMS Spam Collection,spam
I am looking for information about correcting my address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
who is the hardest working man in hollywood,ambiguous,CLINC OOS Dataset (test),oos
where is the closest architecture college,ambiguous,CLINC OOS Dataset (test),oos
can you help me to talk with a damn live agent?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
want help giving a quick look at my invoice #12588,sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
what's out at the theaters right now,ambiguous,CLINC OOS Dataset (test),oos
could you help me chatting with someone?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
were do I see at what time I can reach customer service?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
want help to sign up to the company newsletter,sales_or_contact,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
want help to talk to customer srvice,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
i have to see what hours customer support available is,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"my delivery address changed, can you help me editing it?",faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
Todays Voda numbers ending with 7634 are selected to receive a Â£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,spam,UCI SMS Spam Collection,spam
modifying information on freemium account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=edit_account
I do not know how to look for the invoice from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
I try to contact a fucking operator,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
i haqve to see at what time i can contact customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo",spam,UCI SMS Spam Collection,spam
help seeing the early termination fee,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
where to cancel my company newsletter subscription?,sales_or_contact,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
call the grocery store and get their operational hours,ambiguous,CLINC OOS Dataset (test),oos
assistance ordering an item,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
i'd like to hire a wedding planner and need help finding one,ambiguous,CLINC OOS Dataset (test),oos
forward the text i just got from henry to giselle,ambiguous,CLINC OOS Dataset (test),oos
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app,spam,UCI SMS Spam Collection,spam
"I can't afford purchase {{Order Number}}, I need help canceling it",sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=cancel_order
I want information about updating the shipping address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
help me check what hours i can contact customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
can you tell me who else is on my account,ambiguous,CLINC OOS Dataset (train),oos
"Ur balance is now Â£600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!",spam,UCI SMS Spam Collection,spam
can uhelp me to speak with a person,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
Urgent Ur Â£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 Â£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam,UCI SMS Spam Collection,spam
"accordingly. I repeat, just text the word ok on your mobile phone and send",spam,UCI SMS Spam Collection,spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam,UCI SMS Spam Collection,spam
want assaistance purchasing a few of your article,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a Â£2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only,spam,UCI SMS Spam Collection,spam
what type of industries do innovation managers work in,ambiguous,CLINC OOS Dataset (test),oos
Call FREEPHONE 0800 542 0578 now!,spam,UCI SMS Spam Collection,spam
help me to make a customer claim,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=complaint
i call to check when will my article arrive,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,spam,UCI SMS Spam Collection,spam
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over Â£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,spam,UCI SMS Spam Collection,spam
problem with {{Account Type}} account terminations,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
I don't know what I have to do to contact someone,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
want help to acquire several of your product,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
I am trying to report errors with payments,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
how do you get red wine out of the carpet,ambiguous,CLINC OOS Dataset (test),oos
"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",spam,UCI SMS Spam Collection,spam
help me writing a comment for a service,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=review
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,spam,UCI SMS Spam Collection,spam
want assistance to edit purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
where do I lodge an reclamation?,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=complaint
"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO",spam,UCI SMS Spam Collection,spam
what bills is congress talking about passing or blocking today,ambiguous,CLINC OOS Dataset (test),oos
I want to see at what time I ca contact customer assistance,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,spam,UCI SMS Spam Collection,spam
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,spam,UCI SMS Spam Collection,spam
For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,spam,UCI SMS Spam Collection,spam
how to speak with an agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
Urgent! Please call 09061213237 from a landline. Â£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,spam,UCI SMS Spam Collection,spam
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam,UCI SMS Spam Collection,spam
what is the price to buy more data on my phone,ambiguous,CLINC OOS Dataset (test),oos
